race_id,horse,jockey,trainer,weather,track_condition,distance,finish,gate,odds,place_odds,form_score,condition_score,weight_diff,paddock_score,odds_shift
R0005,Horse_06,Jockey_03,Trainer_09,曇,稍重,2200,6,6,4.23,2.22,57.3,48.3,-6.9,47.9,0.0
R0005,Horse_11,Jockey_09,Trainer_08,曇,稍重,2200,7,1,7.78,3.28,42.3,40.8,5.5,49.0,0.0
R0005,Horse_21,Jockey_03,Trainer_02,曇,稍重,2200,8,10,4.59,2.32,51.8,50.7,-3.3,52.4,0.0
R0005,Horse_02,Jockey_04,Trainer_01,曇,稍重,2200,9,2,9.6,3.82,44.4,40.9,2.2,47.5,0.0
R0005,Horse_24,Jockey_09,Trainer_01,曇,稍重,2200,10,9,8.97,3.64,65.2,55.8,0.8,63.4,0.0
R0005,Horse_15,Jockey_01,Trainer_02,曇,稍重,2200,11,7,12.93,4.63,66.1,58.7,1.6,59.0,0.0
R0006,Horse_18,Jockey_06,Trainer_09,晴,良,1400,1,9,1.39,1.45,71.6,71.6,-2.5,68.7,0.0
R0006,Horse_08,Jockey_08,Trainer_04,晴,良,1400,2,5,1.57,1.63,56.6,58.8,-4.6,59.1,0.0
R0006,Horse_04,Jockey_02,Trainer_03,晴,良,1400,3,13,1.91,1.65,83.0,84.7,-2.5,90.9,0.0
R0006,Horse_17,Jockey_11,Trainer_09,晴,良,1400,4,4,2.09,1.71,60.5,50.7,1.5,52.6,0.0
R0006,Horse_12,Jockey_04,Trainer_06,晴,良,1400,5,8,2.98,1.85,54.3,47.9,0.8,52.3,0.0
R0006,Horse_22,Jockey_01,Trainer_08,晴,良,1400,6,12,2.12,1.66,69.4,62.4,2.7,67.3,0.0
R0006,Horse_11,Jockey_07,Trainer_05,晴,良,1400,7,16,3.73,1.92,53.3,57.4,-0.8,60.9,0.0
R0006,Horse_03,Jockey_03,Trainer_04,晴,良,1400,8,10,3.32,1.96,73.2,74.0,7.1,68.4,0.0
R0006,Horse_10,Jockey_01,Trainer_08,晴,良,1400,9,3,6.44,2.73,58.5,47.1,-1.4,52.2,0.0
R0006,Horse_21,Jockey_01,Trainer_01,晴,良,1400,10,2,4.79,2.43,57.9,50.5,-10.5,34.4,0.0
R0006,Horse_05,Jockey_09,Trainer_09,晴,良,1400,11,14,8.29,3.47,66.6,74.9,6.4,84.7,0.0
R0006,Horse_02,Jockey_02,Trainer_09,晴,良,1400,12,7,6.19,2.83,47.2,36.4,-3.2,42.8,0.0
R0006,Horse_09,Jockey_03,Trainer_01,晴,良,1400,13,11,13.99,5.2,45.8,36.3,3.4,44.5,0.0
R0006,Horse_14,Jockey_03,Trainer_07,晴,良,1400,14,6,16.23,5.62,51.7,70.2,-2.1,67.5,0.0
R0006,Horse_19,Jockey_03,Trainer_02,晴,良,1400,15,1,11.21,4.24,55.5,49.2,-1.7,48.8,0.0
R0006,Horse_20,Jockey_11,Trainer_01,晴,良,1400,16,15,56.54,17.15,55.0,61.4,0.6,65.6,0.0
R0007,Horse_07,Jockey_02,Trainer_02,雨,稍重,1600,1,10,2.12,1.96,78.1,74.3,5.8,70.1,0.0
R0007,Horse_10,Jockey_06,Trainer_04,雨,稍重,1600,2,6,2.18,1.61,52.1,54.5,0.4,63.8,0.0
R0007,Horse_14,Jockey_04,Trainer_07,雨,稍重,1600,3,9,2.46,1.72,46.1,43.9,-2.4,49.5,0.0
R0007,Horse_09,Jockey_06,Trainer_06,雨,稍重,1600,4,8,2.53,1.66,64.7,59.0,0.9,62.8,0.0
R0007,Horse_04,Jockey_02,Trainer_03,雨,稍重,1600,5,2,3.33,1.97,55.1,48.0,-5.3,52.6,0.0
R0007,Horse_01,Jockey_06,Trainer_03,雨,稍重,1600,6,3,4.3,2.18,50.2,51.0,-3.1,60.3,0.0
R0007,Horse_21,Jockey_07,Trainer_08,雨,稍重,1600,7,7,8.91,3.63,64.1,61.4,-3.5,52.1,0.0
R0007,Horse_03,Jockey_03,Trainer_02,雨,稍重,1600,8,1,12.85,4.69,75.2,72.9,3.8,74.0,0.0
R0007,Horse_22,Jockey_09,Trainer_08,雨,稍重,1600,9,4,8.56,3.4,69.3,73.9,3.9,65.5,0.0
R0007,Horse_06,Jockey_02,Trainer_04,雨,稍重,1600,10,5,12.73,4.6,55.4,74.8,-2.3,80.4,0.0
R0008,Horse_07,Jockey_11,Trainer_01,曇,良,1600,1,5,1.49,1.66,65.3,60.6,0.0,56.4,0.0
R0008,Horse_18,Jockey_04,Trainer_04,曇,良,1600,2,8,1.9,1.7,66.9,68.5,-5.8,65.2,0.0
R0008,Horse_09,Jockey_05,Trainer_06,曇,良,1600,3,2,2.24,1.82,55.5,64.8,-2.0,77.1,0.0
R0008,Horse_03,Jockey_08,Trainer_06,曇,良,1600,4,1,2.22,1.63,53.3,48.5,-6.8,58.2,0.0
R0008,Horse_10,Jockey_06,Trainer_06,曇,良,1600,5,3,2.38,1.71,50.8,51.4,-2.3,60.5,0.0
R0008,Horse_05,Jockey_05,Trainer_01,曇,良,1600,6,11,2.53,1.78,55.7,51.5,0.0,46.2,0.0
R0008,Horse_12,Jockey_03,Trainer_04,曇,良,1600,7,4,3.54,2.01,52.4,55.8,-2.4,57.1,0.0
R0008,Horse_06,Jockey_06,Trainer_01,曇,良,1600,8,6,8.3,3.41,70.6,64.3,-9.8,70.9,0.0
R0008,Horse_02,Jockey_08,Trainer_07,曇,良,1600,9,10,13.17,4.85,36.2,37.8,5.8,46.0,0.0
R0008,Horse_13,Jockey_11,Trainer_04,曇,良,1600,10,7,41.73,12.89,32.4,35.1,-6.7,23.7,0.0
R0008,Horse_16,Jockey_01,Trainer_08,曇,良,1600,11,9,70.0,18.0,50.2,54.9,-5.2,50.9,0.0
R0009,Horse_18,Jockey_10,Trainer_03,晴,良,1400,1,5,1.33,1.38,84.4,96.9,-0.8,98.0,0.0
R0009,Horse_07,Jockey_04,Trainer_03,晴,良,1400,2,3,1.34,1.54,88.8,93.6,-9.9,98.0,0.0
R0009,Horse_08,Jockey_04,Trainer_04,晴,良,1400,3,15,1.62,1.48,60.2,68.1,-2.4,73.3,0.0
R0009,Horse_03,Jockey_04,Trainer_05,晴,良,1400,4,14,2.58,1.77,56.1,64.2,0.5,70.4,0.0
R0009,Horse_12,Jockey_06,Trainer_01,晴,良,1400,5,12,3.22,2.13,65.9,65.6,2.4,70.2,0.0
R0009,Horse_24,Jockey_02,Trainer_04,晴,良,1400,6,11,4.9,2.43,55.3,65.0,1.6,58.7,0.0
R0009,Horse_11,Jockey_08,Trainer_05,晴,良,1400,7,10,4.55,2.45,42.1,38.5,-2.2,21.7,0.0
R0009,Horse_21,Jockey_06,Trainer_02,晴,良,1400,8,8,3.56,1.89,59.7,67.2,8.5,63.4,0.0
R0009,Horse_01,Jockey_10,Trainer_05,晴,良,1400,9,1,3.79,1.98,50.9,53.9,2.0,58.6,0.0
R0009,Horse_15,Jockey_07,Trainer_02,晴,良,1400,10,6,8.57,3.6,65.5,67.0,3.5,68.9,0.0
R0009,Horse_22,Jockey_01,Trainer_03,晴,良,1400,11,7,7.44,3.2,67.0,76.8,-4.9,75.6,0.0
R0009,Horse_05,Jockey_06,Trainer_05,晴,良,1400,12,13,7.65,3.2,53.7,51.9,6.2,50.1,0.0
R0009,Horse_09,Jockey_03,Trainer_06,晴,良,1400,13,2,8.78,3.44,69.9,71.3,-3.1,59.1,0.0
R0009,Horse_20,Jockey_05,Trainer_08,晴,良,1400,14,9,17.62,6.1,53.5,43.0,-0.7,37.3,0.0
R0009,Horse_16,Jockey_01,Trainer_06,晴,良,1400,15,4,70.0,18.0,40.1,40.7,8.8,48.7,0.0
R0010,Horse_12,Jockey_10,Trainer_02,晴,良,1400,1,11,1.77,1.53,83.7,90.6,-2.1,98.0,0.0
R0010,Horse_08,Jockey_08,Trainer_04,晴,良,1400,2,1,1.75,1.65,72.3,68.4,-0.1,61.5,0.0
R0010,Horse_21,Jockey_11,Trainer_05,晴,良,1400,3,8,1.44,1.24,68.6,70.8,8.7,71.5,0.0
R0010,Horse_24,Jockey_10,Trainer_04,晴,良,1400,4,7,1.76,1.55,59.5,53.7,-6.1,50.4,0.0
R0010,Horse_15,Jockey_03,Trainer_07,晴,良,1400,5,13,2.89,2.03,57.2,60.0,8.1,55.4,0.0
R0010,Horse_22,Jockey_09,Trainer_01,晴,良,1400,6,2,3.12,2.03,63.5,59.3,0.1,57.0,0.0
R0010,Horse_17,Jockey_02,Trainer_02,晴,良,1400,7,10,2.84,1.83,50.5,42.5,4.4,46.4,0.0
R0010,Horse_04,Jockey_11,Trainer_01,晴,良,1400,8,4,2.49,1.73,59.8,54.2,-0.6,55.2,0.0
R0010,Horse_19,Jockey_04,Trainer_04,晴,良,1400,9,15,3.93,2.24,65.6,69.0,2.9,63.0,0.0
R0010,Horse_05,Jockey_09,Trainer_03,晴,良,1400,10,5,4.73,2.38,52.4,61.6,0.5,68.0,0.0
R0010,Horse_01,Jockey_01,Trainer_01,晴,良,1400,11,9,21.0,7.11,61.1,67.4,6.1,77.3,0.0
R0010,Horse_14,Jockey_07,Trainer_06,晴,良,1400,12,6,9.75,4.01,49.3,46.4,1.2,36.7,0.0
R0010,Horse_16,Jockey_07,Trainer_02,晴,良,1400,13,12,22.62,7.49,36.1,40.2,-1.0,31.1,0.0
R0010,Horse_20,Jockey_07,Trainer_01,晴,良,1400,14,3,25.23,8.2,57.3,53.5,-0.8,54.0,0.0
R0010,Horse_13,Jockey_11,Trainer_08,晴,良,1400,15,14,28.99,9.44,48.2,52.1,1.3,48.7,0.0
R0011,Horse_18,Jockey_04,Trainer_06,晴,稍重,1600,1,2,1.94,1.69,80.6,96.9,0.7,96.4,0.0
R0011,Horse_24,Jockey_11,Trainer_05,晴,稍重,1600,2,9,3.11,2.03,75.8,83.2,-5.2,87.9,0.0
R0011,Horse_11,Jockey_06,Trainer_09,晴,稍重,1600,3,4,2.36,1.63,47.8,54.9,4.6,59.9,0.0
R0011,Horse_06,Jockey_01,Trainer_09,晴,稍重,1600,4,7,4.4,2.21,63.0,67.6,0.5,75.0,0.0
R0011,Horse_23,Jockey_06,Trainer_03,晴,稍重,1600,5,6,5.42,2.55,44.5,54.6,-4.9,66.4,0.0
R0011,Horse_03,Jockey_01,Trainer_09,晴,稍重,1600,6,11,2.76,1.77,54.7,52.4,0.7,49.6,0.0
R0011,Horse_17,Jockey_11,Trainer_03,晴,稍重,1600,7,3,4.75,2.39,49.4,54.4,-7.5,55.2,0.0
R0011,Horse_10,Jockey_03,Trainer_08,晴,稍重,1600,8,5,2.98,1.91,62.0,60.1,7.1,57.2,0.0
R0011,Horse_20,Jockey_04,Trainer_04,晴,稍重,1600,9,1,7.0,3.03,49.2,55.0,-0.8,51.7,0.0
R0011,Horse_22,Jockey_11,Trainer_08,晴,稍重,1600,10,8,7.83,3.22,44.9,62.0,-11.2,63.0,0.0
R0011,Horse_13,Jockey_07,Trainer_01,晴,稍重,1600,11,10,28.0,9.16,44.5,32.8,9.2,44.4,0.0
R0012,Horse_03,Jockey_06,Trainer_08,曇,稍重,2000,1,4,1.84,1.43,82.1,73.2,3.6,73.0,0.0
R0012,Horse_23,Jockey_08,Trainer_02,曇,稍重,2000,2,6,1.56,1.38,77.8,81.1,2.5,79.9,0.0
R0012,Horse_18,Jockey_06,Trainer_02,曇,稍重,2000,3,9,2.35,1.64,76.2,74.8,-1.5,77.6,0.0
R0012,Horse_04,Jockey_08,Trainer_09,曇,稍重,2000,4,1,2.76,1.78,55.8,54.8,2.3,53.4,0.0
R0012,Horse_05,Jockey_10,Trainer_06,曇,稍重,2000,5,7,6.04,2.82,59.0,52.7,5.4,58.9,0.0
R0012,Horse_19,Jockey_09,Trainer_05,曇,稍重,2000,6,10,7.58,3.19,53.0,53.8,1.8,58.3,0.0
R0012,Horse_17,Jockey_10,Trainer_01,曇,稍重,2000,7,8,4.63,2.35,55.7,49.3,0.9,53.8,0.0
R0012,Horse_06,Jockey_01,Trainer_05,曇,稍重,2000,8,2,8.09,3.37,64.9,61.4,-0.3,67.0,0.0
R0012,Horse_11,Jockey_08,Trainer_03,曇,稍重,2000,9,5,5.1,2.42,43.2,47.7,0.4,50.7,0.0
R0012,Horse_20,Jockey_07,Trainer_02,曇,稍重,2000,10,3,30.44,9.61,45.0,39.2,2.9,30.6,0.0
R0013,Horse_07,Jockey_10,Trainer_01,曇,稍重,1200,1,11,1.72,1.36,86.6,86.1,6.6,87.4,0.0
R0013,Horse_05,Jockey_03,Trainer_04,曇,稍重,1200,2,3,3.18,1.86,70.3,63.2,-3.2,60.0,0.0
R0013,Horse_12,Jockey_03,Trainer_03,曇,稍重,1200,3,4,2.23,1.65,79.7,82.9,-4.3,82.9,0.0
R0013,Horse_23,Jockey_03,Trainer_01,曇,稍重,1200,4,7,2.36,1.75,56.6,57.6,-11.8,59.1,0.0
R0013,Horse_08,Jockey_01,Trainer_02,曇,稍重,1200,5,9,4.56,2.24,55.4,50.1,-0.1,49.3,0.0
R0013,Horse_06,Jockey_06,Trainer_02,曇,稍重,1200,6,2,3.3,1.98,66.1,66.0,-1.1,74.7,0.0
R0013,Horse_15,Jockey_10,Trainer_05,曇,稍重,1200,7,10,5.92,2.84,60.2,59.1,-7.6,61.1,0.0
R0013,Horse_20,Jockey_02,Trainer_07,曇,稍重,1200,8,5,4.62,2.35,31.7,31.2,0.9,38.5,0.0
R0013,Horse_21,Jockey_03,Trainer_03,曇,稍重,1200,9,8,6.81,3.04,60.7,74.6,-3.7,74.3,0.0
R0013,Horse_11,Jockey_08,Trainer_04,曇,稍重,1200,10,1,5.75,2.68,42.7,39.5,-0.1,39.0,0.0
R0013,Horse_24,Jockey_03,Trainer_02,曇,稍重,1200,11,6,18.03,6.31,44.0,39.7,-3.4,40.0,0.0
R0014,Horse_18,Jockey_10,Trainer_05,雨,重,1800,1,2,1.64,1.59,80.7,79.1,-7.0,80.9,0.0
R0014,Horse_05,Jockey_04,Trainer_01,雨,重,1800,2,9,1.6,1.4,60.2,59.2,-0.2,64.0,0.0
R0014,Horse_12,Jockey_09,Trainer_06,雨,重,1800,3,4,2.41,1.75,73.7,76.6,-1.4,88.2,0.0
R0014,Horse_23,Jockey_03,Trainer_05,雨,重,1800,4,8,2.95,1.94,65.0,67.8,-2.2,63.7,0.0
R0014,Horse_09,Jockey_09,Trainer_08,雨,重,1800,5,12,3.04,1.95,75.9,82.7,3.4,74.7,0.0
R0014,Horse_20,Jockey_10,Trainer_09,雨,重,1800,6,10,3.57,1.91,39.9,30.1,4.9,35.5,0.0
R0014,Horse_21,Jockey_11,Trainer_05,雨,重,1800,7,13,3.47,2.04,58.7,61.1,-2.2,67.7,0.0
R0014,Horse_06,Jockey_07,Trainer_03,雨,重,1800,8,3,6.18,2.87,78.0,74.9,0.2,70.0,0.0
R0014,Horse_15,Jockey_03,Trainer_07,雨,重,1800,9,5,3.04,2.12,48.6,41.3,-2.8,34.5,0.0
R0014,Horse_01,Jockey_11,Trainer_09,雨,重,1800,10,6,7.33,3.18,45.7,30.5,-3.1,22.1,0.0
R0014,Horse_14,Jockey_09,Trainer_02,雨,重,1800,11,1,10.75,4.0,61.2,57.5,1.1,49.2,0.0
R0014,Horse_16,Jockey_04,Trainer_08,雨,重,1800,12,7,7.71,3.17,52.9,43.0,0.5,39.3,0.0
R0014,Horse_02,Jockey_05,Trainer_01,雨,重,1800,13,11,50.05,15.25,46.7,39.5,6.6,39.0,0.0
R0015,Horse_18,Jockey_01,Trainer_09,晴,良,1800,1,11,1.51,1.48,74.6,71.9,-1.3,75.0,0.0
R0015,Horse_12,Jockey_10,Trainer_02,晴,良,1800,2,3,1.97,1.7,70.2,66.6,5.2,69.2,0.0
R0015,Horse_07,Jockey_01,Trainer_04,晴,良,1800,3,8,2.2,1.72,68.9,67.7,-5.4,68.3,0.0
R0015,Horse_23,Jockey_05,Trainer_01,晴,良,1800,4,5,2.24,1.61,58.1,66.8,-0.8,64.0,0.0
R0015,Horse_10,Jockey_04,Trainer_04,晴,良,1800,5,10,2.04,1.76,52.9,40.7,3.6,43.0,0.0
R0015,Horse_24,Jockey_07,Trainer_05,晴,良,1800,6,2,3.8,2.21,52.4,47.9,2.0,45.1,0.0
R0015,Horse_14,Jockey_04,Trainer_07,晴,良,1800,7,6,4.7,2.41,51.3,51.4,-1.5,48.1,0.0
R0015,Horse_11,Jockey_06,Trainer_01,晴,良,1800,8,9,6.49,2.82,54.3,68.5,3.2,66.1,0.0
R0015,Horse_05,Jockey_10,Trainer_01,晴,良,1800,9,4,10.65,4.17,51.6,43.3,-5.4,44.0,0.0
R0015,Horse_19,Jockey_03,Trainer_04,晴,良,1800,10,1,10.9,4.11,59.1,51.3,-5.1,55.1,0.0
R0015,Horse_13,Jockey_05,Trainer_04,晴,良,1800,11,12,16.28,5.59,34.9,36.7,1.3,43.6,0.0
R0015,Horse_02,Jockey_01,Trainer_05,晴,良,1800,12,7,18.91,6.58,45.1,44.9,6.5,33.8,0.0
R0016,Horse_18,Jockey_05,Trainer_01,晴,良,1400,1,5,1.39,1.45,71.5,72.0,-3.8,78.9,0.0
R0016,Horse_12,Jockey_10,Trainer_04,晴,良,1400,2,10,1.78,1.68,77.1,79.8,4.5,87.2,0.0
R0016,Horse_22,Jockey_10,Trainer_03,晴,良,1400,3,8,2.19,1.8,69.6,64.9,4.2,57.6,0.0
R0016,Horse_21,Jockey_04,Trainer_02,晴,良,1400,4,2,3.84,2.24,62.6,51.9,-5.4,54.6,0.0
R0016,Horse_07,Jockey_11,Trainer_06,晴,良,1400,5,4,4.57,2.09,79.2,61.1,10.4,62.8,0.0
R0016,Horse_15,Jockey_07,Trainer_02,晴,良,1400,6,7,3.59,2.23,69.9,81.5,-6.1,73.0,0.0
R0016,Horse_01,Jockey_04,Trainer_08,晴,良,1400,7,1,7.61,3.17,53.6,53.8,0.5,64.8,0.0
R0016,Horse_16,Jockey_08,Trainer_07,晴,良,1400,8,6,14.28,4.86,49.9,39.7,-4.2,46.6,0.0
R0016,Horse_05,Jockey_11,Trainer_05,晴,良,1400,9,3,18.01,6.22,46.0,49.8,-4.0,54.1,0.0
R0016,Horse_20,Jockey_10,Trainer_05,晴,良,1400,10,9,16.81,5.84,45.7,46.1,0.4,51.8,0.0
R0017,Horse_07,Jockey_06,Trainer_07,晴,稍重,1400,1,13,1.35,1.41,89.4,93.8,3.8,91.7,0.0
R0017,Horse_24,Jockey_05,Trainer_05,晴,稍重,1400,2,7,1.67,1.57,59.1,64.0,1.8,63.2,0.0
R0017,Horse_08,Jockey_10,Trainer_05,晴,稍重,1400,3,8,1.82,1.5,78.4,66.7,-2.6,62.8,0.0
R0017,Horse_23,Jockey_08,Trainer_03,晴,稍重,1400,4,2,2.54,1.87,57.3,63.3,-9.9,63.7,0.0
R0017,Horse_10,Jockey_03,Trainer_02,晴,稍重,1400,5,11,3.22,1.97,59.9,58.5,6.7,60.9,0.0
R0017,Horse_11,Jockey_06,Trainer_02,晴,稍重,1400,6,9,4.03,2.08,52.3,54.9,3.5,60.3,0.0
R0017,Horse_06,Jockey_11,Trainer_02,晴,稍重,1400,7,3,7.44,3.3,54.8,66.0,0.3,72.0,0.0
R0017,Horse_20,Jockey_08,Trainer_05,晴,稍重,1400,8,4,5.07,2.64,48.1,43.9,4.0,38.5,0.0
R0017,Horse_13,Jockey_02,Trainer_09,晴,稍重,1400,9,6,7.25,3.25,44.0,47.2,1.6,46.8,0.0
R0017,Horse_05,Jockey_03,Trainer_05,晴,稍重,1400,10,5,7.16,3.03,53.1,45.3,-0.2,50.5,0.0
R0017,Horse_01,Jockey_02,Trainer_03,晴,稍重,1400,11,12,12.03,4.41,57.3,66.5,-3.4,60.3,0.0
R0017,Horse_16,Jockey_07,Trainer_03,晴,稍重,1400,12,1,34.38,10.86,25.0,22.4,2.9,28.5,0.0
R0017,Horse_02,Jockey_10,Trainer_06,晴,稍重,1400,13,10,33.7,10.62,27.4,35.0,-4.5,33.6,0.0
R0018,Horse_04,Jockey_08,Trainer_05,曇,重,2200,1,13,1.88,1.67,69.9,65.8,0.1,69.0,0.0
R0018,Horse_18,Jockey_08,Trainer_07,曇,重,2200,2,12,2.05,1.54,70.5,77.3,1.9,83.8,0.0
R0018,Horse_10,Jockey_02,Trainer_06,曇,重,2200,3,4,1.86,1.61,58.8,58.3,-2.2,53.9,0.0
R0018,Horse_03,Jockey_08,Trainer_05,曇,重,2200,4,9,1.78,1.5,62.1,63.1,7.2,60.6,0.0
R0018,Horse_12,Jockey_06,Trainer_03,曇,重,2200,5,15,2.32,1.66,64.0,63.4,-4.0,59.9,0.0
R0018,Horse_05,Jockey_10,Trainer_08,曇,重,2200,6,1,2.76,1.98,42.4,34.9,6.1,28.7,0.0
R0018,Horse_21,Jockey_04,Trainer_04,曇,重,2200,7,3,4.67,2.56,48.2,46.5,3.3,41.9,0.0
R0018,Horse_23,Jockey_11,Trainer_04,曇,重,2200,8,11,2.96,1.8,65.8,59.8,-0.4,49.2,0.0
